Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.220,0.000,243.24,0.8,0,0,0
0.316,0.078,242.39,1.2,0,0,0
4.770,0.392,234.65,20.4,1,36,17
1.700,0.200,238.22,7.2,0,1,0
0.366,0.206,240.58,1.8,0,0,1
2.976,0.056,235.46,12.6,0,0,17
0.154,0.122,240.66,0.8,0,0,1
0.292,0.102,238.54,1.2,0,2,0
0.312,0.112,243.78,1.4,0,0,0
4.422,0.064,234.08,18.8,36,0,17
2.326,0.180,238.83,9.8,0,0,18
1.248,0.332,240.21,5.4,0,1,12
0.210,0.060,244.87,0.8,0,0,0
0.332,0.132,244.32,1.4,0,0,1
0.880,0.292,242.72,3.8,0,1,1
4.550,0.446,236.39,19.6,38,1,18
0.240,0.050,234.41,1.0,0,0,0
0.886,0.230,239.64,3.8,0,1,0
1.160,0.058,227.00,5.0,0,0,16
1.492,0.000,242.55,6.2,1,0,18
0.366,0.110,241.17,1.6,0,0,0
1.434,0.082,238.03,6.0,0,1,18
0.534,0.242,239.26,2.6,0,2,1
0.266,0.078,246.12,1.2,0,0,0
0.324,0.214,238.98,1.6,0,0,1
1.564,0.000,237.50,6.6,1,2,18
1.996,0.188,238.00,8.4,0,0,28
1.546,0.096,243.67,6.2,0,1,19
0.702,0.052,233.22,3.2,0,0,0
3.844,0.162,240.57,16.0,0,0,22
0.316,0.148,244.64,1.4,0,0,0
0.480,0.000,240.62,2.0,1,1,1
1.108,0.062,241.08,4.6,0,0,0
0.270,0.056,240.08,1.2,0,0,0
0.270,0.000,245.66,1.2,0,0,0
0.298,0.076,247.24,1.2,0,0,0
0.220,0.000,247.48,0.8,0,0,0
1.410,0.108,241.10,5.8,0,0,19
1.516,0.112,238.67,6.4,0,0,1
0.512,0.112,246.05,2.0,0,0,1
2.424,0.000,241.65,10.0,0,0,19
0.164,0.000,243.20,0.6,0,0,0
5.024,0.000,238.25,21.4,0,36,17
1.838,0.066,238.99,7.6,0,0,18
1.230,0.058,239.46,5.0,0,0,18
1.358,0.066,238.86,5.6,2,2,18
1.644,0.182,242.25,6.8,0,1,0
0.316,0.096,242.15,1.4,0,0,0
0.360,0.198,240.68,1.8,0,0,0
0.350,0.222,238.65,1.6,0,1,0
0.490,0.088,239.37,2.2,0,1,1
0.996,0.166,241.22,4.2,0,0,1
1.514,0.110,241.71,6.2,0,1,18
1.754,0.000,240.64,7.2,0,0,17
1.652,0.098,239.87,6.8,0,1,1
2.910,0.046,242.01,12.0,38,5,0
0.422,0.112,237.09,1.8,0,0,0
1.294,0.076,239.30,5.4,0,0,18
1.338,0.100,241.77,5.4,0,2,18
2.456,0.146,235.16,10.4,0,0,17
1.676,0.062,244.16,6.8,2,0,18
0.308,0.242,243.95,1.6,0,0,1
3.638,0.426,233.05,16.0,0,35,0
1.026,0.442,239.00,4.6,0,1,12
0.404,0.224,244.20,1.8,0,0,0
0.464,0.060,244.18,2.0,0,1,0
1.560,0.194,241.92,6.4,0,1,19
1.150,0.176,239.09,7.0,0,0,1
0.342,0.126,243.42,1.4,0,0,0
0.586,0.128,240.65,2.4,0,0,0
0.222,0.000,240.99,1.0,0,0,0
4.214,0.176,236.82,17.8,39,0,18
1.306,0.000,242.54,5.4,0,0,19
2.322,0.234,240.89,9.8,1,23,0
2.430,0.162,239.10,11.0,9,0,18
0.218,0.078,238.45,1.0,0,0,1
1.370,0.088,243.49,5.6,0,0,0
1.692,0.100,239.70,7.0,0,0,18
0.252,0.126,245.11,1.2,0,0,1
1.996,0.000,236.87,8.4,0,4,17
1.896,0.236,238.08,8.4,0,0,18
1.580,0.302,239.93,6.6,0,2,18
1.410,0.240,241.58,5.8,0,0,0
0.532,0.106,242.91,2.2,0,0,0
0.288,0.000,243.33,1.2,0,0,0
0.268,0.000,246.67,1.0,0,0,1
5.584,0.346,235.19,24.0,31,4,17
1.288,0.000,239.86,5.2,0,0,18
1.570,0.186,237.32,6.6,1,0,18
3.556,0.000,236.60,15.0,37,0,18
6.560,0.146,234.00,28.0,36,36,16
0.238,0.000,241.72,1.0,0,0,0
0.370,0.244,241.10,1.8,0,2,1
0.878,0.260,242.41,3.8,0,1,1
1.614,0.058,240.07,6.6,0,0,19
0.228,0.132,242.85,1.0,0,0,1
2.170,0.354,246.63,8.8,0,1,19
0.328,0.000,242.66,1.4,0,0,0
1.430,0.074,242.28,5.8,0,0,18
5.090,0.260,234.16,21.6,0,35,17
0.838,0.080,238.46,3.4,0,0,12
1.904,0.144,240.98,8.0,0,0,19
0.428,0.228,239.69,2.0,0,2,0
0.154,0.000,239.18,0.6,0,0,0
0.216,0.000,241.19,1.0,0,0,0
0.258,0.000,245.93,1.0,0,0,1
1.730,0.168,239.08,7.2,0,1,17
1.366,0.052,244.40,5.6,0,0,19
0.570,0.138,237.33,2.4,0,0,0
1.336,0.202,239.74,5.6,0,1,18
0.170,0.146,243.61,0.8,0,2,1
0.422,0.084,244.99,1.8,0,0,0
0.264,0.068,240.48,1.2,0,1,1
0.426,0.000,239.38,1.8,0,0,1
0.346,0.104,243.70,1.4,0,0,0
0.502,0.000,243.72,3.4,0,0,0
1.382,0.090,238.87,5.8,0,2,18
0.244,0.140,242.04,1.2,0,0,1
2.688,0.000,236.07,11.4,0,3,18
0.606,0.146,240.32,2.6,0,1,1
1.106,0.224,241.89,4.6,0,0,0
5.634,0.078,235.01,23.8,0,72,18
0.104,0.000,241.27,0.4,0,0,0
0.136,0.000,241.84,0.6,0,0,0
0.272,0.000,242.66,1.2,0,0,0
1.896,0.246,242.15,7.8,0,3,1
0.310,0.244,243.01,1.6,0,0,1
0.244,0.000,240.40,1.0,0,0,0
0.740,0.000,244.28,3.0,0,0,0
0.602,0.070,240.43,2.4,0,0,1
0.258,0.274,240.99,1.4,0,1,0
0.216,0.000,241.36,0.8,0,0,0
0.426,0.230,243.31,2.0,0,1,0
0.294,0.100,237.68,1.2,0,2,0
0.458,0.336,242.40,2.4,0,2,0
0.624,0.000,235.60,2.6,0,1,0
1.358,0.062,238.37,5.6,0,0,18
3.178,0.266,238.61,13.6,0,32,19
1.460,0.048,239.39,6.0,0,0,18
0.218,0.000,234.00,1.0,0,0,0
1.670,0.000,241.32,6.8,0,0,19
0.236,0.000,242.66,1.0,0,0,1
0.214,0.058,244.51,0.8,0,0,0
1.764,0.350,236.40,8.0,7,0,18
3.276,0.062,235.54,14.0,0,0,17
1.778,0.234,244.58,7.2,1,0,19
2.700,0.142,237.60,11.4,0,2,28
0.212,0.000,239.23,0.8,0,0,0
1.264,0.000,238.44,5.2,0,0,17
0.388,0.206,242.50,1.8,0,0,0
0.626,0.224,243.79,2.8,0,0,1
0.144,0.000,241.96,0.6,0,0,0
0.962,0.230,240.42,5.0,0,1,1
0.334,0.062,239.42,1.4,0,1,0
1.494,0.000,242.91,6.2,1,0,18
0.248,0.000,245.15,1.0,0,0,0
0.196,0.046,241.24,1.0,0,0,1
0.420,0.112,238.85,2.0,0,0,1
1.592,0.136,243.50,7.8,0,16,1
1.700,0.054,238.04,7.0,0,0,18
1.402,0.078,238.93,5.8,0,1,18
3.532,0.156,243.04,14.4,0,37,0
0.508,0.380,240.82,2.6,1,2,1
1.380,0.058,242.05,5.6,0,0,18
0.438,0.186,239.47,2.0,0,0,1
0.320,0.104,243.84,1.4,0,0,0
1.484,0.000,238.22,6.2,0,0,18
0.346,0.056,240.07,1.6,0,0,0
1.316,0.000,237.86,5.4,0,0,18
2.000,0.196,240.32,8.2,0,0,31
0.356,0.106,240.59,1.6,0,0,1
0.912,0.248,240.20,3.8,0,0,12
0.262,0.122,242.76,1.2,0,0,0
0.160,0.000,239.91,0.6,0,0,0
4.170,0.454,238.48,17.6,1,0,17
3.788,0.092,235.55,16.0,37,0,18
0.956,0.278,242.29,4.0,0,1,0
0.590,0.050,240.10,2.4,0,0,1
0.214,0.106,235.86,1.0,0,1,0
0.262,0.000,240.33,1.2,0,0,0
0.226,0.000,238.17,1.0,0,0,0
1.238,0.074,232.21,5.2,0,0,16
0.170,0.140,240.27,0.8,0,1,1
0.612,0.190,243.68,2.6,0,0,0
0.660,0.354,242.62,4.2,0,2,0
0.224,0.094,239.45,1.0,0,1,0
2.016,0.104,238.09,8.4,0,1,18
1.902,0.096,241.70,7.8,0,0,19
0.582,0.354,243.07,2.8,0,1,1
1.526,0.108,243.66,6.2,0,0,19
1.652,0.086,243.75,6.8,0,0,19
0.496,0.000,245.60,2.2,0,0,0
0.218,0.056,246.24,0.8,0,0,0
0.434,0.270,247.19,2.0,0,1,1
4.508,0.392,239.26,18.8,39,0,28
2.492,0.124,241.23,10.6,0,0,18
0.414,0.340,239.78,2.2,0,1,1
4.134,0.354,238.27,17.4,38,1,18
1.374,0.000,240.28,5.6,0,0,18
0.362,0.114,245.97,1.6,0,1,0
1.240,0.000,241.48,5.0,0,0,19
1.374,0.000,241.32,5.6,0,0,19
0.146,0.052,242.60,0.6,0,0,0
2.906,0.440,238.03,12.4,1,0,18
1.188,0.168,235.78,5.0,0,0,0
1.912,0.116,241.50,8.2,1,0,8
0.242,0.246,241.65,1.4,0,1,1
1.332,0.184,238.59,5.6,0,2,18
0.474,0.344,242.14,2.4,0,2,0
0.204,0.104,241.97,1.0,0,1,0
0.384,0.178,241.37,1.6,0,0,0
0.246,0.118,239.74,1.2,0,0,1
1.776,0.198,241.13,7.4,0,2,18
1.986,0.088,236.40,8.4,0,0,17
0.256,0.000,244.26,1.0,0,0,0
0.404,0.054,247.73,1.8,0,0,0
1.800,0.070,238.60,7.4,0,0,18
2.832,0.102,238.98,11.8,0,0,17
2.138,0.086,239.87,8.8,0,0,0
0.306,0.112,243.09,1.4,0,2,1
2.068,0.216,239.85,8.6,1,1,18
2.252,0.074,237.67,9.4,0,0,18
2.330,0.000,239.97,9.6,0,0,19
0.800,0.088,237.69,3.4,0,0,0
1.806,0.000,236.88,7.6,0,0,0
0.080,0.000,240.74,0.2,0,0,1
0.316,0.236,234.74,1.6,0,1,0
1.424,0.000,240.32,5.8,0,0,19
1.358,0.054,241.21,5.6,0,0,18
0.212,0.122,236.10,1.0,0,0,0
2.492,0.206,242.64,10.2,0,1,19
0.220,0.000,241.01,1.0,0,0,0
2.458,0.328,244.52,10.0,0,1,0
0.240,0.000,242.41,1.0,0,0,1
2.736,0.070,238.51,11.4,1,0,0
2.410,0.228,236.81,10.2,2,2,1
0.344,0.216,248.70,1.6,0,0,0
0.612,0.288,240.29,2.8,0,2,0
0.710,0.094,240.26,3.2,0,0,0
1.658,0.086,238.07,7.0,0,0,0
0.352,0.120,243.58,1.4,0,0,1
0.238,0.146,243.13,1.2,0,1,0
0.216,0.000,247.67,0.8,0,0,0
1.662,0.166,238.75,7.0,0,2,17
0.210,0.084,240.53,0.8,0,0,1
0.390,0.240,244.15,1.8,0,0,1
6.046,0.158,234.19,25.8,53,0,18
1.140,0.000,233.84,4.8,0,0,16
0.146,0.000,243.84,0.6,0,0,0
1.280,0.158,232.26,5.4,0,0,16
0.354,0.204,246.50,1.6,0,0,0
0.112,0.000,237.34,0.6,0,0,0
2.482,0.156,238.43,10.4,0,19,18
1.266,0.064,239.73,5.2,0,0,18
0.324,0.112,243.18,1.4,0,1,0
0.376,0.170,237.75,1.6,0,1,0
0.230,0.136,242.93,1.0,0,0,1
2.408,0.118,238.88,10.0,0,0,18
0.760,0.244,238.97,3.4,0,0,9
0.490,0.226,243.18,2.2,0,2,0
0.246,0.124,238.97,1.2,0,0,0
1.162,0.544,241.27,5.2,0,2,12
1.282,0.170,237.48,5.4,0,1,17
2.064,0.146,245.12,8.4,0,0,18
1.452,0.084,240.74,6.0,2,0,18
0.712,0.208,245.40,3.2,0,4,0
0.236,0.050,242.42,1.2,0,0,0
1.284,0.000,239.86,5.2,0,0,18
1.428,0.078,242.00,5.8,0,1,18
0.288,0.078,247.33,1.2,0,0,0
0.296,0.226,239.86,1.4,0,0,1
0.510,0.256,241.87,2.4,0,2,1
0.526,0.102,246.42,2.2,0,1,1
1.398,0.000,237.20,5.8,2,1,18
0.560,0.000,239.95,2.2,0,0,1
3.782,0.064,235.32,16.0,37,0,18
0.720,0.268,241.82,3.2,0,2,1
0.306,0.106,241.38,1.2,0,0,0
2.876,0.068,243.99,11.8,0,0,19
0.318,0.126,241.71,1.4,0,0,0
0.252,0.000,240.44,1.0,0,0,1
0.286,0.048,241.91,1.2,0,0,1
1.602,0.230,243.36,6.6,0,0,0
1.490,0.082,239.95,6.2,0,0,18
0.300,0.164,245.97,1.4,0,0,0
0.468,0.000,233.76,2.2,0,0,0
0.246,0.078,250.26,1.0,0,0,0
0.356,0.100,245.16,1.4,0,0,1
0.298,0.074,241.96,1.2,0,0,0
2.490,0.066,236.98,10.4,0,1,17
0.472,0.330,240.86,2.4,0,1,0
0.398,0.168,241.98,1.8,0,0,1
6.266,0.302,243.16,25.8,39,18,18
0.198,0.120,236.70,1.0,0,0,0
0.306,0.074,243.13,1.2,0,0,0
0.156,0.000,239.96,0.6,0,0,0
3.676,0.320,238.88,15.4,37,1,19
3.254,0.530,236.38,14.0,38,0,1
0.516,0.052,240.39,2.2,0,1,1
2.136,0.102,240.01,8.8,0,0,1
1.370,0.000,240.34,5.6,0,1,19
1.350,0.000,241.73,5.6,0,0,18
1.414,0.230,241.04,5.8,0,2,19
0.246,0.118,240.59,1.0,0,0,0
0.298,0.066,242.03,1.2,0,0,0
0.530,0.050,236.21,2.6,0,0,0
1.340,0.162,242.87,5.6,0,1,0
0.300,0.000,242.24,1.4,0,0,0
0.502,0.078,238.72,2.4,0,0,0
0.212,0.078,238.47,0.8,0,0,1
0.638,0.074,240.47,3.0,0,0,1
0.332,0.104,243.82,1.4,0,0,1
2.276,0.000,237.69,9.6,0,0,18
1.444,0.202,240.56,6.0,0,0,18
1.984,0.162,241.15,8.2,0,1,19
0.278,0.000,243.87,1.2,0,0,0
1.374,0.070,240.79,5.6,0,0,18
6.082,0.118,232.97,26.0,36,35,0
1.112,0.076,242.65,4.6,0,0,0
5.062,0.046,241.03,21.0,39,0,18
0.240,0.000,243.64,1.0,0,0,1
0.750,0.206,244.44,3.2,0,0,0
1.792,0.104,241.87,7.4,1,0,18
0.438,0.236,241.67,2.0,0,1,0
0.384,0.236,245.55,1.8,0,0,1
1.260,0.170,233.48,5.4,0,1,17
5.656,0.394,235.81,24.0,43,1,17
1.336,0.000,240.63,5.4,0,0,17
1.036,0.096,237.91,4.4,0,0,0
3.874,0.154,234.04,16.6,36,0,16
0.248,0.122,241.34,1.2,0,1,1
0.230,0.054,245.30,1.0,0,0,0
0.216,0.000,242.18,0.8,0,0,0
3.884,0.440,236.39,16.4,0,2,18
1.516,0.100,242.25,6.2,1,0,18
0.426,0.194,239.66,2.0,0,1,0
2.202,0.348,239.88,9.2,1,0,19
0.172,0.144,242.48,0.8,0,2,1
0.324,0.246,239.96,1.8,0,1,1
2.306,0.180,235.87,9.8,0,1,17
0.644,0.060,236.72,2.8,0,0,0
1.468,0.084,242.41,6.0,1,0,19
0.308,0.048,241.92,1.4,0,0,0
1.870,0.000,243.03,8.4,0,0,0
1.178,0.072,237.47,5.0,0,2,1
1.320,0.106,238.10,5.4,0,1,18
2.110,0.074,236.58,8.8,0,0,18
0.258,0.252,240.27,1.4,0,0,0
0.384,0.092,236.68,1.6,0,0,0
0.286,0.000,244.64,1.2,0,0,0
1.592,0.166,241.84,6.6,0,3,17
1.340,0.000,239.81,5.6,0,0,18
0.230,0.000,245.48,1.0,0,0,0
1.784,0.446,236.95,7.8,0,0,17
1.088,0.378,245.22,4.8,0,0,10
0.252,0.114,242.32,1.2,0,2,1
2.088,0.332,242.52,8.6,0,1,1
2.292,0.092,240.70,9.4,0,0,19
0.338,0.174,244.52,1.6,0,0,0
1.354,0.192,238.03,5.6,0,0,17
0.324,0.146,240.63,1.4,0,0,0
1.116,0.188,238.99,5.0,0,0,5
0.306,0.068,242.49,1.2,0,0,0
2.884,0.466,235.70,12.4,38,0,1
1.134,0.052,243.51,5.0,0,0,0
0.206,0.000,246.97,0.8,0,0,1
0.354,0.118,236.93,1.6,0,0,0
0.228,0.136,241.60,1.0,0,1,0
2.924,0.204,240.02,12.2,0,0,18
0.174,0.000,241.95,0.8,0,0,1
0.258,0.000,244.72,1.0,0,0,0
0.504,0.260,244.49,2.2,1,2,0
0.320,0.124,242.49,1.4,0,0,0
0.428,0.212,241.85,2.0,0,1,1
4.188,0.188,238.17,17.6,37,0,18
0.264,0.000,243.42,1.4,0,0,0
0.160,0.000,240.78,0.8,0,0,0
3.472,0.170,236.39,14.6,0,1,17
0.216,0.104,234.15,1.0,0,2,1
3.858,0.060,236.85,16.2,37,0,18
0.250,0.000,243.71,1.0,0,0,1
4.440,0.162,239.79,18.4,38,0,18
0.924,0.220,244.30,3.8,0,2,0
0.406,0.116,247.48,1.8,0,0,0
1.694,0.088,238.65,7.0,0,0,18
1.308,0.178,238.18,5.4,0,1,17
0.266,0.000,241.27,1.0,0,0,1
0.410,0.232,239.78,2.0,0,2,0
1.352,0.054,239.61,5.6,0,0,18
1.430,0.176,241.49,6.0,0,2,19
0.304,0.078,245.95,1.2,0,0,0
0.224,0.000,244.95,1.0,0,0,0
0.478,0.046,240.35,2.0,0,0,1
0.258,0.000,242.25,1.2,0,0,0
0.216,0.000,244.12,0.8,0,0,0
3.262,0.434,236.68,14.6,22,0,17
1.532,0.172,239.76,6.4,0,0,17
1.578,0.068,239.87,6.6,0,0,18
3.870,0.364,234.06,16.6,0,38,17
1.814,0.326,240.99,7.6,0,2,18
0.132,0.000,244.00,0.6,0,0,1
0.274,0.000,247.07,1.0,0,0,1
0.202,0.000,243.15,0.8,0,0,1
0.954,0.166,241.48,4.0,0,0,1
0.380,0.050,244.65,1.6,0,0,0
0.360,0.112,242.69,1.6,0,0,0
0.752,0.070,240.59,3.2,0,0,0
0.256,0.000,243.65,1.0,0,0,1
2.440,0.000,235.04,10.2,0,37,1
3.308,0.000,238.81,14.4,29,0,17
0.290,0.104,243.18,1.2,0,1,0
4.356,0.416,236.29,18.4,38,1,17
0.336,0.114,244.99,1.4,0,0,0
1.352,0.000,244.96,5.4,0,0,19
1.406,0.066,239.33,5.8,0,0,17
0.700,0.252,238.60,3.4,0,1,9
0.458,0.234,245.92,2.0,0,1,0
1.452,0.238,242.80,6.0,0,0,19
2.222,0.120,243.45,9.0,0,0,18
1.418,0.060,238.36,5.8,0,0,18
0.630,0.082,242.91,3.0,0,0,1
1.548,0.254,240.57,6.6,0,2,19
0.416,0.130,244.08,1.8,0,0,1
0.982,0.242,240.11,4.4,0,1,5
0.888,0.258,240.43,3.8,0,1,10
0.272,0.000,246.95,1.0,0,0,0
0.324,0.102,246.65,1.4,0,0,0
0.250,0.090,241.60,1.0,0,0,0
1.468,0.140,238.40,6.2,0,1,18
0.776,0.074,239.78,3.2,0,0,1
0.276,0.126,245.70,1.2,0,1,1
1.548,0.446,241.98,7.4,0,0,0
2.576,0.308,241.23,10.8,0,0,19
2.072,0.256,240.31,8.6,0,1,17
0.312,0.260,242.17,1.6,0,1,0
0.448,0.150,242.99,1.8,0,1,0
0.234,0.000,240.49,1.0,0,0,1
0.328,0.176,241.71,1.6,0,0,0
0.162,0.054,243.92,0.8,0,0,1
0.372,0.236,242.58,1.8,0,2,1
0.162,0.064,242.17,0.8,0,0,1
1.422,0.232,237.44,6.0,2,0,0
2.058,0.222,239.94,8.6,0,0,29
0.660,0.052,244.49,2.6,0,0,0
1.536,0.102,241.91,6.4,1,2,19
0.116,0.000,238.19,0.6,0,0,0
0.214,0.000,239.58,0.8,0,0,0
1.368,0.060,237.87,5.6,0,0,18
0.184,0.000,242.30,0.8,0,0,1
5.466,0.268,227.83,24.0,35,34,16
0.316,0.090,242.75,1.4,0,0,0
1.444,0.204,241.19,6.0,0,1,1
1.248,0.054,236.23,5.2,0,0,18
1.378,0.090,240.87,5.6,0,0,17
1.542,0.302,238.85,6.6,0,0,18
2.842,0.126,238.39,11.8,0,1,18
1.240,0.052,236.55,5.2,0,0,17
0.336,0.254,241.43,1.6,0,1,0
0.616,0.060,238.85,2.8,0,0,0
0.246,0.000,244.23,1.0,0,0,0
3.042,0.172,237.52,12.8,0,3,17
0.522,0.094,239.14,2.4,0,0,0
0.424,0.056,241.26,2.0,0,0,0
0.098,0.000,242.53,0.4,0,0,0
2.146,0.000,238.18,9.0,0,0,0
1.444,0.216,242.02,6.0,0,0,19
0.484,0.048,238.93,2.4,0,0,0
2.310,0.000,237.80,10.4,0,29,0
1.370,0.070,238.34,5.6,0,0,18
0.462,0.064,241.29,1.8,0,0,1
0.406,0.232,242.48,1.8,0,0,1
0.258,0.114,242.06,1.2,0,0,1
1.376,0.054,238.94,5.8,1,0,1
1.704,0.210,237.87,7.2,0,0,18
0.242,0.068,242.41,1.0,0,0,0
0.472,0.118,243.20,3.0,0,0,0
0.964,0.084,237.25,4.0,0,0,1
0.434,0.206,239.08,2.0,0,1,1
0.242,0.000,242.43,1.0,0,1,0
1.534,0.088,235.30,6.4,0,1,17
1.356,0.112,240.92,5.6,0,1,19
0.410,0.278,245.17,2.0,0,1,0
0.386,0.304,237.01,2.0,1,1,1
3.472,0.370,236.70,15.0,13,0,17
1.372,0.000,241.46,5.6,0,0,18
3.560,0.472,232.39,16.4,18,4,16
0.776,0.382,238.95,3.6,1,1,1
2.832,0.246,239.06,11.8,0,2,18
1.268,0.000,240.06,5.2,0,0,17
3.710,0.100,239.07,15.4,38,0,18
1.468,0.000,245.13,6.0,0,0,19
2.872,0.268,236.66,12.2,0,20,18
2.194,0.288,242.90,9.4,0,25,0
0.350,0.104,240.88,1.6,0,0,0
2.830,0.364,233.66,12.2,0,2,17
1.358,0.206,240.15,5.6,0,0,18
1.562,0.116,241.44,6.4,0,1,0
0.316,0.266,242.18,1.6,0,1,1
0.220,0.108,244.62,1.0,0,0,0
1.384,0.058,245.10,5.6,0,0,19
0.294,0.224,240.46,1.4,0,0,1
0.260,0.000,242.56,1.0,0,0,1
3.650,0.144,236.71,16.0,9,1,18
0.324,0.090,241.30,1.4,0,0,0
1.578,0.000,241.38,6.4,0,0,19
0.360,0.286,240.21,2.0,0,0,0
0.222,0.056,241.05,1.0,0,0,0
1.378,0.056,242.10,5.6,0,0,18
0.222,0.000,240.76,1.0,0,0,0
0.258,0.000,243.59,1.2,0,0,0
0.718,0.000,244.74,2.8,0,0,0
0.636,0.278,247.47,2.8,0,2,0
1.304,0.056,239.28,5.4,0,1,18
0.416,0.090,236.04,1.8,0,0,0
0.964,0.158,239.08,4.2,0,0,0
0.532,0.084,238.99,2.4,0,0,0
0.200,0.124,238.04,1.0,0,0,0
1.904,0.000,239.20,7.8,0,0,1
0.322,0.112,242.31,1.4,0,0,1
0.262,0.000,250.50,1.0,0,0,0
0.328,0.108,246.85,1.4,0,1,0
1.540,0.094,238.23,6.4,0,0,19
0.246,0.000,242.99,1.0,0,0,0
0.224,0.096,234.24,1.0,0,0,0
0.260,0.000,242.17,1.0,0,0,0
0.258,0.000,245.69,1.0,0,0,1
1.328,0.000,241.11,5.4,0,0,18
0.230,0.098,243.35,1.0,0,0,1
1.808,0.000,245.48,7.2,0,0,18
1.456,0.088,238.84,6.0,0,0,18
3.266,0.164,241.84,14.4,21,2,18
1.420,0.098,244.93,7.0,0,2,0
1.232,0.054,238.51,5.0,0,0,18
4.560,0.690,239.83,19.8,0,20,18
0.248,0.110,240.45,1.2,0,1,0
0.218,0.072,243.08,1.0,0,1,1
0.924,0.048,243.72,3.8,0,0,0
1.548,0.136,239.83,6.6,0,0,20
0.348,0.062,242.14,1.4,0,0,0
1.482,0.052,238.38,6.2,0,0,17
3.974,0.232,233.18,17.0,0,0,17
0.168,0.138,239.10,0.8,0,1,1
0.392,0.000,239.17,2.0,0,0,0
5.564,0.096,234.07,23.8,36,29,0
1.500,0.222,238.79,6.2,0,0,17
0.382,0.000,245.37,1.6,0,0,0
0.184,0.152,240.62,1.0,0,0,1
0.410,0.102,240.39,1.8,0,0,1
1.600,0.186,239.51,6.6,0,1,18
0.848,0.488,241.60,4.0,0,2,0
1.380,0.082,243.09,5.6,0,0,18
0.806,0.000,235.02,3.4,0,0,0
0.388,0.198,242.04,1.8,0,2,0
0.168,0.140,240.30,0.8,0,1,1
0.276,0.068,238.69,1.2,0,0,0
0.576,0.000,239.97,2.4,0,0,1
3.908,0.000,232.45,17.4,0,0,16
1.614,0.158,240.25,6.6,0,1,18
1.188,0.000,237.22,5.0,0,0,18
0.414,0.186,241.25,2.0,0,0,1
0.268,0.134,243.33,1.2,0,1,1
1.542,0.108,237.46,6.4,0,1,18
1.328,0.000,240.13,5.4,0,0,18
0.318,0.106,242.03,1.4,0,0,0
0.756,0.294,241.91,3.4,0,1,0
0.278,0.202,237.77,1.4,0,2,1
1.346,0.178,242.09,5.6,0,2,1
1.230,0.046,234.40,5.2,0,0,17
1.704,0.208,238.96,7.2,0,0,18
1.788,0.048,238.80,7.4,0,0,18
0.210,0.088,240.76,1.0,0,0,0
1.298,0.000,233.88,5.4,0,0,17
1.642,0.068,242.75,6.8,0,0,0
3.868,0.188,236.96,16.2,0,38,17
0.232,0.000,243.19,1.0,0,0,0
0.352,0.070,241.29,1.6,0,0,0
0.326,0.068,241.31,1.4,0,0,0
4.398,0.488,232.14,19.0,0,36,0
1.044,0.336,240.53,4.6,0,0,13
2.258,0.052,240.21,9.4,1,0,19
1.314,0.128,240.07,5.4,0,0,18
0.448,0.000,248.07,1.8,0,0,1
1.308,0.000,242.32,5.4,0,0,19
0.270,0.000,245.17,1.0,0,0,0
1.868,0.068,239.07,7.8,0,1,18
0.254,0.000,244.78,1.0,0,0,1
0.306,0.236,241.31,1.6,0,1,0
4.148,0.174,237.13,17.4,0,38,17
1.476,0.116,241.94,6.0,1,0,18
0.388,0.226,242.31,1.8,0,1,1
0.222,0.000,243.40,0.8,0,0,0
1.686,0.000,242.98,7.0,0,0,18
0.158,0.000,242.07,0.6,0,0,1
0.354,0.266,243.20,1.8,0,1,0
0.214,0.112,238.99,1.0,0,0,1
1.350,0.048,241.73,5.6,0,0,18
0.310,0.074,244.78,1.2,0,0,0
2.700,0.052,238.51,11.2,0,0,18
1.714,0.168,241.40,7.0,0,3,18
0.206,0.070,234.73,1.0,0,0,0
0.374,0.072,243.14,1.6,0,1,0
0.654,0.140,241.32,3.2,0,0,1
0.334,0.092,242.96,1.4,0,0,0
0.342,0.112,241.51,1.4,0,0,0
5.460,0.000,235.22,23.2,37,0,18
1.588,0.070,240.90,6.6,0,1,18
1.358,0.100,239.81,5.6,2,0,18
1.458,0.086,240.18,6.0,0,0,17
1.338,0.000,241.15,5.4,0,0,18
0.412,0.308,243.65,2.0,0,1,0
2.018,0.062,238.46,8.4,0,0,1
2.760,0.382,235.74,11.8,0,1,17
0.332,0.096,242.42,1.4,0,0,0
0.250,0.140,243.27,1.2,0,0,1
1.280,0.062,240.13,5.2,0,0,19
0.182,0.120,241.99,0.8,0,1,0
0.374,0.092,242.54,1.8,0,0,1
0.234,0.080,240.12,1.0,0,0,1
0.976,0.326,236.78,4.2,0,1,0
1.918,0.352,237.27,8.2,0,1,1
4.346,0.000,236.27,18.4,0,35,17
1.772,0.768,238.59,8.4,1,1,1
0.152,0.000,240.32,0.8,0,0,0
0.628,0.082,240.25,2.6,0,0,0
6.608,0.000,230.91,28.6,0,70,17
0.248,0.244,237.99,1.4,0,0,1
0.444,0.000,248.07,1.8,0,0,0
2.496,0.202,232.94,10.6,1,0,17
0.328,0.000,240.85,1.4,0,0,1
0.266,0.000,245.14,1.2,0,0,0
0.140,0.000,239.75,0.6,0,0,1
0.734,0.108,244.35,3.0,0,0,0
1.230,0.000,226.93,5.4,0,0,16
